,Open,High,Low,Close,Volume
2022-02-18 13:00:00,40442.6,40533.6,40187.1,40380.9,13588624.0147215
2022-02-18 12:00:00,40176,40550,40070,40442.6,13304579.4186038
2022-02-18 11:00:00,40790.6,40805.8,40099.9,40174.4,20919577.8387904
2022-02-18 10:00:00,40879.5,40879.5,40705.3,40790.6,5991533.22479797
2022-02-18 09:00:00,40874.9,40914.4,40772.6,40879.5,6921806.71779386
2022-02-18 08:00:00,40663.2,40959.6,40649.8,40874.8,10257426.6731028
2022-02-18 07:00:00,40719.2,40779.9,40559,40663.2,5574315.79073923
2022-02-18 06:00:00,40627,40749.9,40580,40719.1,5371301.71924161
2022-02-18 05:00:00,40520.9,40703.2,40508,40627,4889247.08450411
2022-02-18 04:00:00,40696.8,40777,40508,40519.4,6329384.31454694
2022-02-18 03:00:00,40765.3,40772.7,40588,40696.9,5446027.64751426
2022-02-18 02:00:00,40791.6,40891.1,40670.6,40765.2,6838888.8638738
2022-02-18 01:00:00,40562.5,40939,40363.1,40791.6,17582573.3356469
2022-02-18 00:00:00,40507.2,40671,40298,40569.8,14578845.0053376
2022-02-17 23:00:00,40715.9,40754.8,40445,40507.2,14102034.6905386
2022-02-17 22:00:00,40667.4,40758,40418.4,40724.4,12293027.055601
2022-02-17 21:00:00,40885.9,40969.8,40058.8,40667.4,45601891.0142072
2022-02-17 20:00:00,41200.1,41200.1,40839.7,40886,21261548.0244792
2022-02-17 19:00:00,41293.9,41293.9,40939.8,41200,16611408.8485538
2022-02-17 18:00:00,41748.9,41872.7,40757,41293.9,58560851.4733222
2022-02-17 17:00:00,41979.1,41996.2,41614.1,41748.8,17119218.1270165
2022-02-17 16:00:00,41927,42114.9,41661.8,41979.2,28860711.4695077
2022-02-17 15:00:00,41924.8,42127,41706.3,41926.9,21049014.4210489
2022-02-17 14:00:00,42253.1,42399.3,41820.2,41924.5,28402515.783499
2022-02-17 13:00:00,43212.7,43293,42158.2,42253.1,40609799.2911925
2022-02-17 12:00:00,43169.5,43342.8,43148.1,43212.8,9004261.36887627
2022-02-17 11:00:00,43053.4,43218.7,42966.1,43169.5,10663373.1855068
2022-02-17 10:00:00,43219.3,43340.9,42937.1,43053.3,13283287.8966915
2022-02-17 09:00:00,43467.7,43531,42927,43219.2,22034507.1259154
2022-02-17 08:00:00,43924.6,44023,43334.3,43467.6,20654815.0764797
2022-02-17 07:00:00,43837.3,43949.4,43751.1,43924.6,6035179.60484756
2022-02-17 06:00:00,43614.8,43888,43574.3,43837.4,7455696.65336474
2022-02-17 05:00:00,43605.4,43708.4,43503,43614.9,5976634.37424609
2022-02-17 04:00:00,43572,43708.5,43345,43605.4,14963782.5696091
2022-02-17 03:00:00,44007.4,44011.8,43570.2,43572,10797307.874223
2022-02-17 02:00:00,44011.1,44100,43832,44007.4,10129093.1510048
2022-02-17 01:00:00,44059.2,44169.3,43971.9,44011,8883215.11507325
2022-02-17 00:00:00,43866.6,44094.6,43824.1,44059.2,10407905.3311559
2022-02-16 23:00:00,44008.3,44168.4,43840,43868.5,6963404.34230445
2022-02-16 22:00:00,44071,44149.9,43965.3,44008.3,4421682.64622785
2022-02-16 21:00:00,44094,44164.9,43888.2,44070.9,7419833.71356513
2022-02-16 20:00:00,44217.6,44369,44076,44097.3,14184733.3240686
2022-02-16 19:00:00,43849.6,44351.8,43701,44217.7,36616757.5070084
2022-02-16 18:00:00,43575.3,43896,43512.5,43849.5,9232061.23288091
2022-02-16 17:00:00,43650.6,43707,43550.6,43576.5,7714192.24978762
2022-02-16 16:00:00,43600,43739.4,43356,43650.6,12045846.4514921
2022-02-16 15:00:00,43484.8,43693.1,43437.9,43599.6,11405028.1625962
2022-02-16 14:00:00,43629.2,43739,43320,43484.9,25870487.7231458
2022-02-16 13:00:00,44033.1,44143.1,43525.5,43629.2,22651364.7302196
2022-02-16 12:00:00,44200,44225.4,43971.2,44033.2,9602841.64631356
2022-02-16 11:00:00,44112,44268.6,44112,44200,11517296.3881024
2022-02-16 10:00:00,44010.6,44128.7,43888,44112,8380534.09925583
2022-02-16 09:00:00,44152.9,44237.4,44006,44010.5,7101010.50902748
2022-02-16 08:00:00,44184.4,44326,44140.1,44152.9,9219966.55447509
2022-02-16 07:00:00,44028.3,44188.6,43939.1,44184.4,4933361.97185154
2022-02-16 06:00:00,44055.6,44189,44025.1,44028.4,4068322.37953522
2022-02-16 05:00:00,43900.3,44133.3,43896.9,44055.6,6542526.66961352
2022-02-16 04:00:00,43981,43981.1,43683.1,43900.4,13227778.8394737
2022-02-16 03:00:00,44072.9,44161,43960,43981,7908791.56950746
2022-02-16 02:00:00,43986,44075.9,43900,44073,8323561.73341938
2022-02-16 01:00:00,44199.9,44200,43950,43986.1,24416326.4483496
2022-02-16 00:00:00,44563.6,44565.3,44137.4,44200,9976734.72940327
2022-02-15 23:00:00,44174.3,44800.8,44096.8,44563.5,25225199.6165057
2022-02-15 22:00:00,43962.8,44363.7,43962.8,44174.2,6911208.86503675
2022-02-15 21:00:00,44137.2,44163.9,43936.7,43962.9,5590321.08025132
2022-02-15 20:00:00,43995,44169.2,43970,44136.6,12997057.1456309
2022-02-15 19:00:00,44136.1,44136.2,43962.4,43994.9,7149770.39253092
2022-02-15 18:00:00,43922,44195.9,43866.9,44136.2,11627411.5631935
2022-02-15 17:00:00,44117.8,44155.5,43850,43922,14909624.0646871
2022-02-15 16:00:00,44196.1,44256.6,44015.5,44117.7,13322347.0531253
2022-02-15 15:00:00,44257.5,44289.3,44111,44196.1,13081279.2060968
2022-02-15 14:00:00,44240.9,44537.3,44149.6,44257.5,19029656.8482603
2022-02-15 13:00:00,44181.9,44304,44021.9,44240.9,11390439.8696551
2022-02-15 12:00:00,44230.5,44348.8,44140.2,44181.6,9966480.07510478
2022-02-15 11:00:00,44270.9,44428,44114.5,44232.4,10621167.686608
2022-02-15 10:00:00,44055.5,44354.7,43971.1,44270.9,16690603.5641719
2022-02-15 09:00:00,43994.5,44111.9,43847.3,44055.5,19132532.1178223
2022-02-15 08:00:00,43691.1,44180.4,43606.7,43994.4,27359495.3245413
2022-02-15 07:00:00,43548,43764,43528.8,43691.1,10077930.4404528
2022-02-15 06:00:00,43571.3,43678.3,43528.8,43546.1,7764911.19296174
2022-02-15 05:00:00,43466.1,43629.3,43400,43571.4,7871081.20402034
2022-02-15 04:00:00,43562.3,43806.4,43466,43466.1,10979635.6179558
2022-02-15 03:00:00,43572.2,43675.8,43496.5,43562.3,8392546.12370628
2022-02-15 02:00:00,43461,43687.5,43392.1,43572.2,20972864.3160766
2022-02-15 01:00:00,42569.9,43626,42521,43460.9,35501399.1407554
2022-02-15 00:00:00,42535,42663.5,42425.3,42570,10147576.6104137
2022-02-14 23:00:00,42678.8,42796,42529,42534.3,8820589.8295257
2022-02-14 22:00:00,42238.3,42750,42234.5,42678.5,13529765.1331405
2022-02-14 21:00:00,42178.7,42288.1,42099.7,42235.4,7164052.88864581
2022-02-14 20:00:00,42123.8,42308,41974.8,42178.8,19140238.296007
2022-02-14 19:00:00,42240.9,42298.9,41804.9,42123.8,48683766.1736016
2022-02-14 18:00:00,42575.8,42656.3,42217,42241,17388275.4138862
2022-02-14 17:00:00,42647.5,42780,42516.1,42575.7,15326741.4916404
2022-02-14 16:00:00,42576.6,42818.9,42550.2,42647.5,16047630.3803323
2022-02-14 15:00:00,42520.9,42649.9,42354.5,42576.5,20513769.1934336
2022-02-14 14:00:00,42489.3,42861.8,42468.3,42510.9,27397962.7470431
2022-02-14 13:00:00,42531.1,42682.1,42383,42489.2,21727807.3949596
2022-02-14 12:00:00,42114.5,42583,41965,42531.1,19551577.051068
2022-02-14 11:00:00,42232.8,42270,42074.4,42114.4,7497918.31612755
2022-02-14 10:00:00,42079.7,42273.5,41922.6,42232.7,12413382.0254515
2022-02-14 09:00:00,42037,42220.4,41953.9,42074.1,11892647.4500457
2022-02-14 08:00:00,42315.7,42408.8,42009.5,42037.1,15871837.4496358
2022-02-14 07:00:00,42185.1,42381.7,42113.9,42315.7,10698153.1992294
2022-02-14 06:00:00,41771.4,42270.3,41734.2,42185.1,13144581.99612
2022-02-14 05:00:00,41966.7,42014,41767.1,41771.4,7021247.70541824
2022-02-14 04:00:00,41914.6,41980,41838,41966.6,7090517.54017135
2022-02-14 03:00:00,41700.7,41967,41612.3,41914.5,10794098.3874494
2022-02-14 02:00:00,41679.9,41837.7,41612.6,41700.7,12222022.7464716
2022-02-14 01:00:00,42110,42145.1,41525.7,41677.6,24307834.8686087
2022-02-14 00:00:00,42056.3,42179.4,41934,42110,14427216.6745222
2022-02-13 23:00:00,42375,42394.4,42021,42056.4,12740092.0298646
2022-02-13 22:00:00,42200.1,42424.9,42198.1,42375,5300276.43303322
2022-02-13 21:00:00,42437.1,42500,42199,42200.1,7790521.60031007
2022-02-13 20:00:00,42029.9,42440,41945.1,42431.6,10154232.3729366
2022-02-13 19:00:00,41973.6,42182,41881,42029.9,11735755.8213895
2022-02-13 18:00:00,42265.9,42398,41869.1,41973.6,13427657.56543
2022-02-13 17:00:00,42309.8,42309.8,42083.8,42265.8,12799133.897543
2022-02-13 16:00:00,42565.6,42585.2,42217,42309.8,11413691.9343114
2022-02-13 15:00:00,42535.3,42767.7,42505.2,42565.5,13481133.7112255
2022-02-13 14:00:00,42511,42700,42180.6,42538.5,14963454.6314235
